0x800151d0 | FUNCTION     | #FABD6C47 | #A07CF300 | Length 0x68
0x80015240 | FUNCTION     | #B5332CF8 | #BAF28ABF | Length 0x20
0x80015260 | FUNCTION     | #F3F6D02A | #7FC401ED | Length 0x8
0x80015270 | FUNCTION     | #5559859F | #4E5E2CA0 | Length 0x8
0x80015280 | FUNCTION     | #B220536A | #798021B5 | Length 0x19c
0x80015420 | FUNCTION     | #DB9015BA | #861EBC05 | Length 0x130
0x80015550 | FUNCTION     | #369ABF89 | #21DDD3EE | Length 0x9c
0x800155f0 | FUNCTION     | #C0B76477 | #DA0E9B90 | Length 0x130
0x80015720 | FUNCTION     | #4B8CE76A | #6BD2B8AD | Length 0xc8
0x800157f0 | FUNCTION     | #13716245 | #711AF142 | Length 0xd8
0x800158d0 | FUNCTION     | #00746C1A | #A1D155BD | Length 0x1e8
0x80015ac0 | FUNCTION     | #C6C9E34C | #6660E68B | Length 0x74
0x80015b40 | FUNCTION     | #DA3076DD | #F8C3853A | Length 0x124
0x80015c70 | FUNCTION     | #ACA87E3B | #3273F17C | Length 0x4
